"education_id","title","description","date_range","candidate_id"
13555,"Universidad del Desarrollo","Bachelor's degree, Graphic Design","2009 – 2014",8293
13556,"The Mayflower School","High School","1996 – 2009",8293
13557,"University of Illinois at Chicago","Internship Program, Graphic Design","2013 – 2013",8293
13566,"Universidad del Salvador","Bachelor in Psychology, Psychology","2001 – 2005",8299
13567,"Colegio de Cocineros Gato Dumas","Cook, Gastronomy","2002 – 2004",8299
13568,"Mater Ter Admirábilis de Schöenstatt","Bachillerato en Letras","1995 – 2000",8299
13592,"CAECE","Licenciatura en sistemas y gestion de negocios, prepara profesionales altamente capacitados en los conocimientos de las últimas tecnologías","2002 – 2013",8312
13667,"Instituto de Tecnología ORT","System Analist, Information Technology","2002 – 2007",8345
13668,"Scholem","Bachelor of Business Administration (B.B.A.), High School/Secondary Diplomas and Certificates","1994 – 1998",8345
13669,"otro",NULL,"",8345
14494,"FIAP","MBA em Big Data (Data Science)","2019 – 2020",8705
13405,"UADE","Licenciado en Informática","",8231
13851,"University","Engineer’s Degree, Electrical engineering","",8419
13960,"UBA","Licenciatura en Psicología, Psicología","2019 – 2024",8466
14048,"Tungnan University of Science and Technology","BS, Electrical Engineering","",8511
14055,"Universidad del Noroeste, A.C.","Bachelors’ Degree in Graphic Design","2000 – 2004",8514
14495,"Centro Universitário Anhangüera","Bacharelado, Ciência da Computação","2006 – 2009",8705
14497,"Udacity","Data Engineering Nanodegree, Data Science and Big Data","2019 – 2019",8706
14499,"UERJ - Universidade do Estado do Rio de Janeiro","University of the State of Rio de Janeiro, Actuarial Sciences","2008 – 2016",8706
14501,"Johns Hopkins Bloomberg School of Public Health","Data Science Specialization, Data Science","2015 – 2016",8707
14502,"Universidade de Pernambuco","MSc., Eng da Computação","2011 – 2013",8707
14503,"Universidade de Pernambuco","BSc., Eng da Computação","2007 – 2010",8707
15032,"Universidad Abierta Interamericana","Engineer's degree, Systems Engineering","2011 – 2017",8940
14132,"Universidad Nacional del Sur","Doctor en Ingeniería, Sistemas de Tiempo Real","2006 – 2011",8545
14133,"Universidad Nacional del Sur","Computer Systems Engineer, Operating Systems, Real Time Systems, Computer Networks","2000 – 2006",8545
14692,"Universidad Tecnológica Nacional","Desarrollador de Aplicaciones con PHP y MySQL, Programación informática","2008 – 2008",8791
14693,"TECH Universidad Tecnológica","Master en Dirección de Tecnologías de la Información, Tecnología de la información","2020 – 2021",8791
14694,"Udemy Alumni","Programador Full Stack, Programación informática, aplicaciones específicas","2010 – 2010",8791
14695,"Udemy Alumni","Networking para Redes, Informática, comunicaciones y servicios de asistencia","",8791
14696,"Udemy Alumni","Desarrollo de Aplicaciones con Laravel, Programación informática, aplicaciones específicas","2011 – 2011",8791
14697,"Udemy Alumni","Desarrollador Full Stack con Laravel y Angular, Programación informática, aplicaciones específicas","2014 – 2014",8791
14698,"Udemy Alumni","Desarrollador de Aplicaciones Móviles con Ionic, Programación informática, aplicaciones específicas","2018 – 2018",8791
14699,"Universidad del CHubut","Tutor Virtual, Tutoría Virtual","2013 – 2014",8791
14700,"Udemy Alumni","Ciclo Formativo de Grado Medio, Curso Profesional de Django","2020 – 2020",8791
15151,"Handong Global University","Bachelor's degree, Computer Science","1998 – 2006",8996
15841,"Unidades Tecnologicas de Santander","Ingenieria de Sistemas, Tecnología de la información","2013 – 2017",9315
15292,"Universidade Veiga de Almeida","Bachelor's degree, Computing Engineering","2011 – 2018",9059
15293,"Escola Técnica do Rio de Janeiro","Technical Education, Industrial Computing","2008 – 2010",9059
15378,"Universidad 'Alejandro de Humboldt'","Licenciatura en Publicidad, Publicidad","2010 – 2015",9097
15382,"FIAP","Master of Business Administration - MBA, Business Intelligence & Analytics","2020 – 2021",9100
15383,"Universidade do Vale do Paraíba","Social Communication, Journalism","2011 – 2014",9100
15521,"SENAC Language Center","English, English Language","2016 – 2019",9162
15408,"Universidad de Morelia, S.C.","Ingeniero en Videojuegos, Ingeniería en Videojuegos","",9114
15487,"International Institute of Economics and Law","Bachelor, Financial Management","2015 – 2019",9149
15501,"Universidade do Vale do Paraíba","Ciência da Computação, Tecnologia da Informática","2005 – 2009",9155
15503,"Universidad de Buenos Aires","Master's degree, Data Mining & Knowledge Discovery","2016 – 2017",9157
15504,"University of Buenos Aires","Bachelor's degree, Systems Engineering","2008 – 2013",9157
15506,"Universidade Presbiteriana Mackenzie","Graduate, Technology in Systems Analysis and Development","February 2021 – June 2023",9159
15507,"ASN.Rocks","Especialization, Data Science & Analytics","February 2021 – April 2021",9159
15508,"Pontifícia Universidade Católica do Rio Grande do Sul","Competências Profissionais, Emocionais e Tecnológicas para Tempos de Mudança, Business Administration and Management, General","2020 – 2020",9159
15509,"FIAP","IT Business Partner, Business","2019 – 2019",9159
15510,"{reprograma}","Back-end","2019 – 2019",9159
15511,"{reprograma}","Bootcamp EaD, Front-end Developer","2019 – 2019",9159
15512,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo - IFSP","Engineer's degree, Mechanical Engineering","2016 – 2016",9159
15513,"The University Center of FEI","Engineer's degree, Mechanical Engineering","2012 – 2013",9159
15514,"Universidade de São Paulo","2011, Automotive Design","2011 – 2011",9159
15515,"Universidade de São Paulo","2002, Japanese Language and Culture","1998 – 2002",9159
15516,"Universidade Cruzeiro do Sul","Bachelor of Technology - BTech, Information Technology","2017 – 2019",9160
15517,"Pedro Taques","Ensino Fundamental, Contabilidade","",9160
15520,"Joaquim Nabuco College","Complete Higher Education, BSc. System Analyst","2011 – 2015",9162
15522,"Lanlink","Windows Server 2012 R2 Certification preparatory Course Certificate, Network administration and Systems","",9162
15842,"Unidades Tecnologicas de Santander","Tecnologo en Desarrollo de Sistemas Informaticos","2012 – 2015",9315
15858,"Universidad de Buenos Aires","Bachelor's degree in System Analysis, Information Technology","1998 – 2007",9326
15859,"CompetitivePM","IT Projects Assesment, Information Technology","2011 – 2011",9326
15860,"CompetitivePM","Information Technology Estimation Techniques, Information Technology","2011 – 2011",9326
15861,"Professor Héctor Vogel","Balanced Scored Cards, Strategical Planning","2014 – 2014",9326
15914,"Universidad Técnica Federico Santa María","Ingeniero en informática","2012 – 2015",9345
15915,"Universidad Técnica Federico Santa María","Ingeniero de ejecución en Informática","2005 – 2011",9345
15968,"Universidad de Palermo","Ingenieria en informatica, Sistemas","",9376
15969,"College of American English","English","1996 – 2000",9376
15970,"Capgemini","Curso intensivo de Spring","2012 – 2012",9376
15972,"FLEX","Flex course","",9376
15974,"Universidad de la República","Computer Engineer","2008",9378
16565,"Universidad de Palermo","Licenciado en Informatica, informatica, sistemas, software","2011 – 2014",9658
15674,"Universidade do Vale do Rio dos Sinos","Bacharelado, Ciência da Computação","2010 – 2016",9236
16141,"Universidad Latina de Costa Rica","Licenciatura, Mercadeo y publicidad","2001 – 2006",9463
16252,"Universidad Nacional Autónoma de México","Matemático, Matemáticas","2010 – 2014",9516
16371,"Hadassah Academic College","Bachelor of Science (BSc), Computer Science","2005 – 2008",9571
16372,"Hadassah Academic College","Master of Science - MS, Computer Science","",9571
16384,"Bauman Moscow State Technical University","Bachelor of Technology (B.Tech.), Computer Systems Networking and Telecommunications","2009 – 2012",9578
16385,"Moscow Technical College","Technician Programmer, Computer Programming","1999 – 2003",9578
16386,"College of Information Systems and Technologies","Associate's degree, Computer Science","2010 – 2014",9579
16411,"Universidad Nacional de Rosario","Master's degree, Computer Science","2016",9585
16566,"The University of Auckland","IELTS Preparation Course, English as a Second or Foreing Language","2017 – 2017",9658
16726,"UADE Business School","Master of Business Administration - MBA","2019 – 2020",9727
16727,"Universidad Tecnológica Nacional","Especialista en Ingenieria en Sistemas de Información, Ingeniería informática","2002 – 2003",9727
16728,"Universidad Tecnológica Nacional","Ingeniero en Sistemas de Información, Ingeniería informática","1996 – 2000",9727
16781,"Universidad Abierta Interamericana","Diseñador Gráfico","2009 – 2014",9748
17270,"Udacity","Full Stack Web Developer Nanodegree, Computer Science","2016 – 2016",9996
16454,"Pontifícia Universidade Católica do Rio Grande do Sul / PUCRS","Bachelor's degree, Computer Information Systems","2009 – 2013",9605
16455,"Pontifícia Universidade Católica do Rio Grande do Sul / PUCRS","Public Relationships","2008 – 2009",9605
16870,"Pontificia Universidad Católica Argentina 'Santa María de los Buenos Aires'​","Computer Engineer, Computer Engineering","2010 – 2014",9793
16956,"Universidad Autónoma de Aguascalientes","Licenciatura en tecnologías de información, Tecnología de la información","2008 – 2013",9837
